state,district,inc_seat,unopp,part_base,pr_dem,dem_mean,dem_q10,dem_q25,dem_q75,dem_q90
CA,42,open,0,0.715,0.9998,0.6821,0.6332,0.658,0.7069,0.7299
CA,43,dem,0,0.8124,1,0.7929,0.7548,0.7749,0.813,0.8296
CA,44,dem,0,0.7301,1,0.7114,0.6657,0.6894,0.7351,0.7542
CA,45,gop,0,0.508,0.1788,0.4637,0.4095,0.4358,0.4898,0.5172
CA,46,dem,0,0.6334,0.9935,0.6184,0.5682,0.594,0.6442,0.6678
CA,47,dem,0,0.5326,0.7875,0.5316,0.4789,0.5045,0.5594,0.586
CA,48,gop,0,0.4181,0.0048,0.383,0.3308,0.3548,0.4091,0.437
CA,49,dem,0,0.5341,0.719,0.5257,0.4713,0.4964,0.5545,0.5829
CA,50,dem,0,0.6525,0.9968,0.6368,0.5858,0.6123,0.6626,0.6866
CA,51,dem,0,0.6182,0.9882,0.6037,0.5533,0.5773,0.6296,0.6551
CA,52,dem,0,0.6689,0.9992,0.6517,0.6032,0.6277,0.6767,0.7006
CO,1,dem,0,0.7994,1,0.7807,0.7397,0.7623,0.8011,0.8192
CO,2,dem,0,0.6867,0.9992,0.6702,0.622,0.6462,0.6956,0.7187
CO,3,gop,0,0.4351,0.0158,0.3958,0.3431,0.3675,0.4221,0.4511
CO,4,gop,0,0.3833,0.003,0.3517,0.3008,0.324,0.3778,0.4041
CO,5,gop,0,0.4254,0.011,0.3892,0.3368,0.3615,0.4163,0.444
CO,6,dem,0,0.6011,0.9755,0.5868,0.5346,0.5609,0.6121,0.6389
CO,7,open,0,0.5507,0.7195,0.5236,0.4705,0.4958,0.5502,0.5783
CO,8,open,0,0.5,0.2932,0.4783,0.4249,0.4512,0.5054,0.5327
CT,1,dem,0,0.6213,0.9965,0.6312,0.5797,0.6052,0.6575,0.6804
CT,2,dem,0,0.5365,0.9077,0.5545,0.5022,0.5272,0.5824,0.6097
CT,3,dem,0,0.5801,0.9832,0.5929,0.5429,0.5672,0.6189,0.6438
CT,4,dem,0,0.6352,0.9968,0.6433,0.5957,0.6193,0.6685,0.6916
CT,5,dem,0,0.5319,0.9005,0.553,0.5002,0.5258,0.5802,0.6058
DE,1,dem,0,0.5742,0.9532,0.5719,0.5188,0.5457,0.5978,0.624
FL,1,gop,0,0.3144,5e-4,0.2971,0.2485,0.2705,0.3214,0.3476
FL,2,dem,0,0.4245,0.0552,0.4281,0.3759,0.4009,0.4541,0.4831
FL,3,gop,0,0.4067,0.0055,0.3814,0.3294,0.3529,0.407,0.435
FL,4,open,0,0.4438,0.0638,0.433,0.381,0.4043,0.4611,0.4887
FL,5,open,0,0.3982,0.0125,0.3888,0.3363,0.3611,0.4156,0.4425
FL,6,gop,1,NA,0,NA,NA,NA,NA,NA
FL,7,open,0,0.4516,0.052,0.4301,0.3775,0.4025,0.4569,0.4837
FL,8,gop,0,0.389,0.003,0.3653,0.3144,0.3381,0.3909,0.4182
FL,9,dem,0,0.566,0.9328,0.563,0.5112,0.5367,0.5896,0.6158
FL,10,open,0,0.6418,0.9955,0.6188,0.5694,0.5941,0.6449,0.6692
FL,11,gop,0,0.422,0.01,0.3947,0.3425,0.3678,0.4212,0.4489
FL,12,gop,0,0.3353,5e-4,0.3164,0.2687,0.2902,0.3399,0.3672
FL,13,open,0,0.4433,0.0595,0.4319,0.3794,0.4052,0.4587,0.4845
FL,14,dem,0,0.5741,0.9498,0.5705,0.5189,0.5434,0.5968,0.6233
FL,15,open,0,0.4638,0.1552,0.4571,0.402,0.4276,0.4846,0.5124
FL,16,gop,0,0.4326,0.0217,0.405,0.3526,0.3769,0.431,0.4594
FL,17,gop,0,0.398,0.0053,0.3732,0.3211,0.3447,0.4003,0.4277
FL,18,gop,1,NA,0,NA,NA,NA,NA,NA
FL,19,gop,0,0.3719,3e-4,0.349,0.2989,0.3226,0.375,0.4019
FL,20,dem,0,0.7438,1,0.7325,0.6909,0.7114,0.754,0.774
FL,21,gop,0,0.43,0.018,0.4017,0.3492,0.3746,0.4278,0.4567
